Date,Fed Rate,unemployment,sp500,nasdaq
2020-10-01,0.09,6.9,3418.701363636363,11427.84252925
2020-11-01,0.09,6.7,3548.9925000000003,12049.9140626
2020-12-01,0.09,6.7,3695.3100000000004,12706.63012675
2021-01-01,0.09,6.4,3793.748421052632,13203.55761725
2021-02-01,0.08,6.2,3883.432105263158,13754.6447755
2021-03-01,0.07,6.0,3910.508260869565,13214.818359599998
2021-04-01,0.07,6.0,4141.176190476191,13983.004883
2021-05-01,0.06,5.8,4167.8495,13643.288281000001
2021-06-01,0.08,5.9,4238.489545454546,14274.87988275
2021-07-01,0.1,5.4,4363.7128571428575,14659.7075195
2021-08-01,0.09,5.2,4454.206363636364,14973.2679688
2021-09-01,0.08,4.7,4445.543333333333,14943.465087749999
2021-10-01,0.08,4.6,4460.7071428571435,15016.367431499999
2021-11-01,0.08,4.2,4667.386666666666,15693.4240236
2021-12-01,0.08,3.9,4674.772727272727,15524.65478525
2022-01-01,0.08,4.0,4573.8155,14293.430078399999
2022-02-01,0.08,3.8,4435.98052631579,13586.82031275
2022-03-01,0.2,3.6,4391.265217391305,13792.11230475
2022-04-01,0.33,3.6,4391.296,13059.00244125
2022-05-01,0.77,3.6,4040.3599999999997,11889.628125
2022-06-01,1.21,3.6,3898.9466666666667,11218.459716500001
2022-07-01,1.68,3.5,3911.7295,11828.1325685
2022-08-01,2.33,3.7,4158.563043478261,12436.506055
2022-09-01,,,3951.716923076923,11698.576497333333
